UserName;Embedded_text;Likes;ID
@laurenboebert;"The only solution I’ve ever heard the Left propose for climate change is more taxes  more control and less freedom.

They have one playbook and it fails every single time.
1 683
2 259
11.7K";2259;post_1
@catherine___c;"Climate change doesn’t cause volcanic eruptions.
158
64
762";64;post_2
@KaConfessor;"Vaccinated tennis ball boy collapses in the tennis court due to climate change.
24
118
159";118;post_3
@climate_parent;"North America has experienced an average winter  with temperatures and snowfall totals in line with historical trends.

Do not be fooled.

This phenomenon is known as ""Asymptomatic Climate Change"".
15
50
158";50;post_4
@Thomas_Sp8;"They're gonna do the same with Climate Change when it starts to get really bad.
Quote Tweet
🅹🅴🆈աrecκ ☭
@joeywreck
 · Jan 17
They really want you to fucking live with covid.
4
24
127";24;post_5
@ruggiere_l;"HELLO AMERICA 

Who would have ever thought the World could be taken; by fearing Climate Change  the Common Cold  and the FLU?
1
12
22";12;post_6
@judeswings;"fucking hell this weather makes me really fucking anxious bc climate change is only getting worse and worse and my god we’ll all be dead within a couple of years
2
2
40";2;post_7
@michele_burford;"Great to finally have this important UNESCO/SCOR publication finished outlining techniques and approaches to tackling harmful algal bloom research in the context of climate change. Thanks to all the authors for excellent chapters. https://oceanexpert.org/document/29762
3
22
49";22;post_8
@consigningwoman;"Climate change is one of the world's most pressing problems. #RedCodeForHumanity 

So  it makes no sense when mainstream media publishes an article about #ClimateChange with a paywall. This is profit over people and planet. #MSMFail

Should be FREE front-page news everyday.
4
27
44";27;post_9
@GMcK2012;"Can people start questioning the ""Johnson got the big calls right"" crap? Worst Covid cases in Western Europe  Afghanistan  climate change  corrupt contracts to cronies  Brexit  backhanders. 

#Newsnight
2
6
28";6;post_10
@EZClimateGuy;"I’m raising two kids and  ya know  I guess I just can’t be polite  courteous  and respectful to people like Joe Manchin who are threatening their near-and-long-term futures with his failures to protect U.S. democracy and address climate change.
3
10
47";10;post_11
@GeraldKutney;"Ronald Reagan (1989): ""Because changes in the earth's natural systems can have tremendous economic and social effects  global climate change is becoming a critical concern.""

#ClimateEmergency #ClimateCrisis
GIF
ALT
8
15
58";15;post_12
@true_insights_;"#Geopolitics could have a material impact on #markets this year. 
- #China - #UnitedStates 
- #Russia - #Ukraine 
- #Food prices
- #Climate change and #energy security
7
17";7;post_13
@ActOnClimateVic;"The climate crisis is front page news in South Gippsland. The community is connecting the dots between climate change and coastal erosion. It's time for govts to act! #ClimateImpactsVic #Auspol #SpringSt
23
17";23;post_14
@GrahamY;"There is a systemic problem with academic modellers in most fields  certainly pandemics and climate change. They cannot be trusted  but there is no penalty for the modellers in being so incompetent. In fact they are often rewarded. :/
Quote Tweet
Parnell Palme McGuinness
@parnellpalme
 · Jan 17
Interesting read. https://spectator.co.uk/article/how-did-sage-scenarios-compare-to-reality-an-update?fbclid=IwAR1aS7Bc3yYBfSHSQOOQkQujG8kS7FNLOlAJOAhhSzoIxzmbgeq4geNWr14…
3
4
13";4;post_15
@AmanzWillieONE;"Every day  I wake up to the news of environmental injury with impunity.
With the huge Global Crisis on Climate Change Mitigation options & strategies  one wonders why the gov't of Uganda is adamant in stopping this plight but instead aids it more.
@GretaThunberg
 @Fridays4FutureU
4
19
49";19;post_16
@EricLars7;"I saw my Amish friend Elton today. ""Nice day."" I said. He replied ""Yea too nice for the middle of January."" He explained that he was worried it would warm up too fast and the sap would run early  then freeze and stop. AGAIN. He gets that climate change is a threat. And he's Amish
1
1
13";1;post_17
@ashbetteridge;"... don't be the person that only thinks about the dramatic volcano this week. Just a few months ago islands across the Pacific were facing sea surges due to climate change/coastal erosion. Every year  the region's cyclone season becomes more intense due to climate change.
1
4
18";4;post_18
